song,author,co_authored,duet
Kind of Woman,Nicks,Benmont Tench,FALSE
Stop Draggin' My Heart Around,"Tom Petty, Michael Campbell","Tom Petty, Michael Campbell",Tom Petty
Think About It,Nicks,Roy Bittan,FALSE
Leather And Lace,Nicks,NA,Don Henley
If Anyone Falls,Nicks,Sandy Stewart,FALSE
Nightbird,Nicks,Sandy Stewart,FALSE
I Will Run To You,Tom Petty,NA,Tom Petty
Nothing Ever Changes,Nicks,Sandy Stewart,FALSE
I Can't Wait,Nicks,"Rick Nowels, Eric Pressly",FALSE
Sister Honey,Nicks,Les Dudek,FALSE
Imperial Hotel,Nicks,Mike Campbell,FALSE
Some Become Strangers,"David Williams, Amy Latelevision, Peter Rafelson",NA,FALSE
Talk to Me,Chas Sandford,NA,FALSE
The Nightmare,Nicks,Chris Nicks,FALSE
If I Were You,Nicks,Rick Nowels,FALSE
Has Anyone Ever Written Anything for You,Nicks,Keith Olsen,FALSE
Rooms on Fire,Nicks,Rick Nowels,FALSE
Long Way to Go,Nicks,"Rick Nowels, Charles Judge",FALSE
Two Kinds of Love,Nicks,"Rupert Hine, Rick Nowels",Bruce Hornsby
Ooh My Love,Nicks,Nowels,FALSE
Ghosts,Nicks,Mike Campbell,FALSE
Whole Lotta Trouble,Nicks,Mike Campbell,FALSE
Fire Burning,Nicks,"Moke Campbell, Rupert Hine",FALSE
Cry Wolf,Jude Johnstone,NA,FALSE
Alice,Nicks,Rupert Hine ,FALSE
I Still Miss Someone (Blue Eyes),"Johnny Cash, Roy Cash Jr.",NA,FALSE
Blue Denim,Nicks,Mike Campbell,FALSE
Greta,Nicks,Mike Campbell,FALSE
Docklands,"Trevor Horn, Betsy Cook",NA,FALSE
Listen to the Rain,Nicks,"Monroe Jones, Scott Crago",FALSE
Unconditional Love,"Sandy Stewart, Dave Mundy",NA,FALSE
Maybe Love Will Change Your Mind,"Rick Nowels, Sandy Stewart",NA,FALSE
Just Like a Woman,Bob Dylan,NA,FALSE
Kick It,Nicks,Mike Campbell,FALSE
Jane,Nicks,Joel Derouin,FALSE
Every Day,"John Shanks, Damon Johnson",NA,FALSE
Too Far from Texas,"Steve Booker, Sandy Stewart",NA,Natalie Maines
That Made Me Stronger,Nicks,"Scott F. Crago, Timothy Drury",FALSE
It's Only Love,Sheryl Crow,NA,FALSE
I Miss You,Nicks,Rick Nowels,FALSE
For What It's Worth,Nicks,Michael Campbell,FALSE
In Your Dreams,Nicks,Dave Stewart,FALSE
Wide Sargasso Sea,Nicks,Dave Stewart,FALSE
New Orleans,Nicks,Neale Heywood,FALSE
Annabel Lee,Nicks,"Edgar Allan Poe, Waddy Wachtel",FALSE
Everybody Loves You,Nicks,Dave Stewart,Dave Stewart
Ghosts Are Gone,Nicks,Dave Stewart,FALSE
You May Be the One,Nicks,Dave Stewart,FALSE
Italian Summer,Nicks,Dave Stewart,FALSE
Cheaper Than Free,Nicks,Dave Stewart,Dave Stewart
Blue Water,Nicks,Sharon Celani,Lady Antebellum
I Don't Care,Nicks,"Michael Campbell, Waddy Wachtel",FALSE
Carousel,Vanessa Carlton,NA,FALSE
She Loves Him Still,Nicks,Mark Knopfler,FALSE
